symbol;priceChange;priceChangePercent;weightedAvgPrice;prevClosePrice;lastPrice;lastQty;bidPrice;bidQty;askPrice;askQty;openPrice;highPrice;lowPrice;volume;quoteVolume;openTime;closeTime;firstId;lastId;count
NKNUSDT;-0,00520000;-4,022;0,12927776;0,12930000;0,12410000;36,00000000;0,12410000;4258,00000000;0,12420000;687,00000000;0,12930000;0,13950000;0,12000000;50947195,00000000;6586339,45850000;2024-01-04 22:12:02.581;2024-01-05 22:12:02.581;34673949;34725204;51256
XRPBUSD;0,00970000;1,552;0,62770846;0,62400000;0,63450000;176,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,62480000;0,64310000;0,60940000;626485,00000000;393249,93760000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;99003584;99005093;1510
ETHBUSD;27,84000000;1,236;2282,04841092;2254,94000000;2281,12000000;0,01310000;0,00000000;0,00000000;0,00000000;0,00000000;2253,28000000;2329,40000000;2228,87000000;524,93960000;1197937,58000800;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;491746825;491752907;6083
BCHABCBUSD;0,00000000;0,000;0,00000000;220,16000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
LTCBUSD;-0,60000000;-0,822;72,77894816;72,92000000;72,37000000;7,88500000;0,00000000;0,00000000;0,00000000;0,00000000;72,97000000;73,94000000;71,15000000;6064,88600000;441396,02380000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;44619474;44620471;998
LINKBUSD;0,00000000;0,000;0,00000000;14,07100000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
ETCBUSD;0,00000000;0,000;0,00000000;19,03000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
STXBNB;-0,00031100;-5,876;0,00523045;0,00523000;0,00498200;30,20000000;0,00499200;95,20000000;0,00501700;351,10000000;0,00529300;0,00543700;0,00498200;55622,00000000;290,92826350;2024-01-04 22:12:04.885;2024-01-05 22:12:04.885;1331375;1331737;363
STXBTC;-0,00000257;-6,660;0,00003804;0,00003857;0,00003602;59,00000000;0,00003601;127,00000000;0,00003604;139,10000000;0,00003859;0,00004008;0,00003590;1412519,90000000;53,73704934;2024-01-04 22:12:08.250;2024-01-05 22:12:08.250;10236735;10252965;16231
STXUSDT;-0,13200000;-7,733;1,66215728;1,70750000;1,57490000;8,20000000;1,57470000;5,00000000;1,57540000;446,60000000;1,70690000;1,77390000;1,56350000;37209524,50000000;61848082,15487000;2024-01-04 22:12:09.348;2024-01-05 22:12:09.348;51142589;51414144;271556
